資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,天候,地形,路面状態,道路形状,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,地点　緯度（北緯）_1,地点　経度（東経）_1,曜日(発生年月日),祝日(発生年月日),認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）
true,41,101,13,2,0,1,30000,0,201,2023,1,2,14,42,12,6,53,16,36,1,2,1,14,7,0,0,0,0,1,9,1,70,5,4,1,55,55,3,61,31,0,1,0,1,0,11,0,3,0,80,0,3,0,2,0,2,0,4,2,363448821,1395116265,36.580228,139.854518,2,1,9999,0,5,0
true,41,101,14,2,0,1,30000,0,201,2023,1,23,11,30,12,6,49,16,56,2,1,1,14,7,0,0,0,0,2,9,1,70,4,2,41,75,0,51,76,41,0,0,0,0,0,0,0,0,0,40,0,3,0,0,0,0,0,2,0,363233076,1395147786,36.542521,139.863274,2,3,0,0,0,0
true,41,101,15,2,0,1,10040,0,201,2022,12,29,17,35,22,6,52,16,33,1,1,1,14,7,0,0,0,0,4,9,1,70,1,2,21,25,55,3,4,31,31,1,1,1,1,11,11,4,4,50,70,2,2,2,2,2,2,4,2,363343200,1395122979,36.562,139.856383,5,3,9999,9999,5,9
true,41,101,16,2,0,1,30000,0,201,2023,1,24,9,30,12,6,48,16,57,2,1,1,1,7,9,22,0,0,14,9,30,70,5,3,41,75,0,51,75,41,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,2,0,363325686,1395218314,36.557135,139.871754,3,3,0,0,0,0
true,41,101,17,2,0,1,2930,0,201,2023,1,25,12,53,12,6,47,16,58,5,3,3,11,7,0,0,0,0,3,9,1,70,4,2,21,1,65,12,14,1,31,11,11,2,1,11,11,4,4,50,50,2,1,2,2,2,2,4,2,363920228,1395149100,36.655619,139.863639,4,3,9999,9999,1,9
true,41,101,18,2,0,2,30000,0,201,2023,1,15,18,33,22,6,52,16,48,3,1,1,14,1,0,0,0,0,4,9,1,70,4,2,21,25,1,3,3,31,31,1,1,1,1,11,11,3,3,10,30,3,3,2,2,2,2,4,2,363429608,1395324932,36.574891,139.890259,1,3,9999,9999,1,1
true,41,101,19,2,0,1,30000,0,201,2023,1,28,15,33,12,6,46,17,1,1,2,1,1,7,9,22,0,0,15,9,30,70,4,2,1,65,1,3,61,31,0,1,0,1,0,11,0,3,0,10,0,3,0,2,0,2,0,4,2,363331619,1395114274,36.558783,139.853965,7,3,9999,0,9,0
true,41,101,20,2,0,1,30000,0,201,2023,1,19,7,5,11,6,50,16,52,1,1,1,14,7,0,0,0,0,3,9,1,70,4,3,21,25,1,3,4,31,31,1,1,1,1,11,11,2,2,30,10,3,3,2,2,2,2,2,4,363421634,1395220345,36.572676,139.872318,5,3,9999,9999,1,1
true,41,101,21,2,0,1,30000,0,201,2023,1,12,22,1,22,6,52,16,45,1,1,1,1,1,9,22,9,22,14,9,30,70,4,3,21,25,65,3,4,31,31,1,1,1,1,11,11,2,2,50,50,3,3,2,2,2,2,4,2,363334870,1395317527,36.559686,139.888202,5,3,9999,9999,1,9
true,41,101,22,2,0,1,10030,0,201,2023,1,30,11,40,12,6,44,17,3,1,1,1,1,1,9,22,9,22,18,9,30,70,4,2,21,55,75,12,52,1,41,11,0,1,0,11,0,10,0,40,10,3,3,2,0,2,0,4,2,363522081,1395131676,36.589467,139.858799,2,3,9999,0,9,0
true,41,101,23,2,0,1,10060,0,201,2023,1,5,18,40,22,6,53,16,38,1,1,1,1,7,1,21,8,22,17,9,30,70,4,2,21,65,35,51,51,41,41,0,0,0,0,0,0,0,0,40,10,3,3,0,0,0,0,4,2,363300374,1395137490,36.550104,139.860414,5,3,0,0,0,0
true,41,102,1,2,0,1,10030,0,203,2023,1,3,6,24,23,6,53,16,37,1,1,1,1,7,1,21,0,0,15,9,30,70,5,2,1,1,45,3,61,31,0,1,0,1,0,11,0,10,0,50,0,3,0,2,0,2,0,4,2,362328327,1394410691,36.391202,139.736303,3,3,9999,0,1,0
true,41,102,2,2,0,3,23090,0,203,2022,12,25,12,55,12,6,50,16,30,1,3,1,14,7,0,0,0,0,5,9,1,70,4,2,21,45,25,3,3,31,31,1,1,1,1,11,11,4,4,80,50,3,3,2,2,2,2,4,2,362338684,1394451364,36.394079,139.747601,1,3,9999,9999,1,1
true,41,102,3,2,0,1,10110,0,203,2022,12,15,9,8,12,6,45,16,26,1,2,1,7,1,0,0,0,0,1,9,1,70,7,4,21,55,55,17,3,31,31,11,1,2,1,11,11,3,3,10,30,3,2,2,2,2,2,4,2,361530680,1393912976,36.258522,139.653604,5,3,9999,9999,9,1
true,41,102,4,2,0,1,30000,0,203,2022,12,27,7,48,11,6,51,16,32,1,3,1,1,7,1,21,9,22,14,9,30,70,4,3,21,35,65,3,4,31,31,1,1,1,1,11,11,10,4,80,50,1,1,1,1,2,2,4,2,362106502,1394422308,36.351806,139.73953,3,3,9999,9999,1,9
true,41,102,5,2,0,1,30000,0,203,2022,12,28,14,45,12,6,51,16,32,1,2,1,1,7,1,21,9,22,14,9,30,70,4,2,21,35,75,3,4,31,31,1,1,1,1,11,11,3,3,10,70,3,3,2,2,2,2,4,2,362313549,1394451454,36.387097,139.747626,4,3,9999,1055,1,9
true,41,102,6,2,0,4,30000,0,203,2023,1,5,11,7,12,6,53,16,38,1,2,1,7,7,0,0,0,0,3,9,1,70,4,2,21,55,45,13,4,31,31,11,1,1,1,11,11,4,4,10,30,2,2,2,2,2,2,4,2,362332312,1394724313,36.392309,139.790087,5,3,9999,9999,9,9
true,41,102,7,2,0,1,10020,0,203,2022,12,24,15,55,13,6,50,16,30,1,1,1,1,1,9,22,9,22,15,9,30,70,5,2,21,75,1,3,51,31,41,1,0,1,0,11,0,4,0,80,40,3,3,1,0,2,0,4,2,362339534,1394502362,36.394315,139.750656,7,3,9999,0,9,0
true,41,102,8,2,0,2,10020,0,203,2022,12,30,15,32,12,6,52,16,34,1,2,1,14,7,0,0,0,0,3,9,1,70,5,2,21,75,45,3,3,31,31,1,1,1,1,11,11,3,3,30,30,2,3,2,2,2,2,4,2,362317696,1394436766,36.388249,139.743546,6,3,680,9999,1,1
true,41,102,9,2,0,1,30000,0,203,2023,1,10,7,13,11,6,53,16,43,1,3,1,1,1,9,22,9,22,15,9,30,70,4,2,21,35,1,13,4,31,31,11,1,1,1,11,11,3,3,40,10,1,1,2,1,1,2,4,2,362543932,1394331465,36.42887,139.725407,3,3,9999,9999,1,5
true,41,102,10,2,0,3,23110,0,203,2023,1,10,15,22,12,6,53,16,43,1,2,1,14,7,0,0,0,0,3,9,1,70,4,2,21,65,65,4,14,31,31,1,11,1,2,11,11,3,3,10,10,2,2,2,2,2,2,2,2,362009982,1394221557,36.336106,139.705988,3,3,9999,9999,9,9
true,41,102,11,2,0,1,10110,0,203,2023,1,11,7,28,11,6,53,16,44,1,2,1,1,1,9,22,0,0,18,9,30,70,1,1,1,25,75,3,61,31,0,1,0,1,0,11,0,4,0,80,0,3,0,2,0,2,0,4,2,362144132,1394301398,36.362259,139.717055,4,3,9999,0,5,0
true,41,102,12,2,0,1,10020,0,361,2023,1,11,12,0,12,6,53,16,44,1,1,1,7,1,0,0,0,0,3,9,1,70,1,2,21,35,25,3,3,31,31,1,1,1,1,11,11,4,4,10,30,2,2,2,2,2,2,4,2,362745018,1394932743,36.462505,139.825762,4,3,9999,9999,5,1
true,41,102,13,2,0,1,20000,0,203,2023,1,16,12,23,12,6,51,16,49,3,3,2,1,7,9,22,1,21,11,9,30,70,5,2,21,45,65,4,14,31,31,1,11,1,1,11,11,3,10,10,45,2,2,1,2,2,2,2,4,362450996,1394627182,36.414166,139.774217,2,3,9999,9999,9,1
true,41,102,14,2,0,1,30000,0,203,2023,1,16,19,33,22,6,51,16,49,1,3,1,7,7,0,0,0,0,2,9,1,70,5,2,21,35,45,3,4,31,31,1,1,1,1,11,11,10,10,10,30,1,1,1,2,2,2,4,2,361608396,1394228976,36.268999,139.708049,2,3,9999,9999,1,9
true,41,102,15,2,0,2,30000,0,203,2023,1,16,12,20,12,6,51,16,49,3,3,2,14,7,0,0,0,0,3,9,1,70,5,2,21,45,1,3,4,31,31,1,1,1,1,11,11,10,10,50,50,3,3,2,2,2,2,2,4,362312127,1394721725,36.386702,139.789368,2,3,9999,9999,5,1
true,41,102,16,2,0,1,10020,0,203,2023,1,17,7,25,11,6,51,16,50,1,2,1,14,1,0,0,0,0,3,9,1,70,1,2,21,1,25,3,4,31,31,1,1,1,1,11,11,10,10,10,30,3,3,2,2,2,2,4,2,362404151,1394606503,36.401153,139.768473,3,3,9999,9999,1,1
true,41,102,17,2,0,1,30000,0,361,2023,1,6,8,4,12,6,53,16,39,1,3,1,1,7,1,21,0,0,14,9,30,70,4,2,1,35,65,3,61,31,0,1,0,1,0,11,0,4,0,10,0,3,0,2,0,2,0,4,2,362834122,1394959790,36.476145,139.833275,6,3,9999,0,1,0
true,41,102,18,2,0,1,30000,0,203,2022,12,31,9,37,12,6,52,16,34,1,3,1,1,7,9,22,9,22,11,9,30,70,4,3,21,25,45,3,33,31,31,1,0,1,0,11,11,4,4,20,40,3,3,2,0,2,0,4,2,362511003,1394550749,36.419723,139.764097,7,2,9999,9999,5,1
true,41,102,19,2,0,1,30000,0,203,2023,1,20,11,20,12,6,50,16,53,1,3,1,1,7,1,22,9,22,14,9,30,70,4,4,21,65,55,3,33,31,31,1,0,1,0,11,11,10,3,50,10,3,3,2,0,2,0,4,2,362107301,1394240554,36.352028,139.711265,6,3,9999,9999,9,9
true,41,102,20,2,0,1,30000,0,203,2023,1,20,17,34,21,6,50,16,53,1,3,1,14,7,0,0,0,0,1,8,1,70,4,2,21,1,25,4,4,31,31,1,1,1,1,11,11,4,4,10,30,3,3,2,2,2,2,4,2,362117959,1394254937,36.354989,139.71526,6,3,9999,9999,1,1
true,41,102,21,2,0,1,23090,0,203,2022,11,30,3,21,22,6,32,16,25,2,1,2,14,7,0,0,0,0,3,9,1,70,1,1,41,1,0,3,75,31,0,1,0,1,0,11,0,4,0,70,0,1,0,1,0,2,0,2,0,362158784,1394257982,36.366329,139.716106,4,3,9999,0,1,0
true,41,102,22,2,0,1,10670,0,203,2023,1,19,17,44,21,6,50,16,52,1,1,1,14,7,0,0,0,0,3,9,1,70,4,3,21,65,35,4,4,31,31,1,1,1,1,11,11,3,3,10,30,2,2,1,2,2,2,4,2,361909455,1394020676,36.319293,139.67241,5,3,9999,9999,9,5
true,41,102,23,2,0,1,30000,0,203,2023,1,24,19,30,22,6,48,16,57,1,3,1,14,7,0,0,0,0,2,9,1,70,5,2,41,65,0,51,76,41,0,0,0,0,0,0,0,0,0,14,0,3,0,0,0,0,0,2,0,362200977,1394424749,36.366938,139.740208,3,3,0,0,0,0
true,41,102,24,2,0,1,21840,0,361,2023,1,20,18,57,22,6,50,16,53,1,3,1,1,7,9,22,9,22,14,9,30,70,5,2,21,45,65,3,36,31,31,1,0,1,0,11,11,4,2,50,30,3,3,2,0,2,0,4,2,362915279,1395010068,36.487578,139.83613,6,3,9999,9999,1,4
true,41,102,25,2,0,1,2930,0,203,2023,1,25,11,0,12,6,47,16,58,1,3,1,14,7,0,0,0,0,4,9,1,70,4,2,41,65,0,51,76,41,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,2,0,362720038,1394233422,36.455566,139.709284,4,3,0,0,0,0
true,41,102,26,2,0,1,10440,0,203,2023,1,26,6,29,23,6,47,16,59,1,3,1,1,7,1,21,9,22,14,9,30,70,4,2,21,25,65,3,4,31,31,1,1,1,1,11,11,10,10,10,21,1,1,1,2,2,1,4,2,362259344,1394544737,36.383151,139.762427,5,3,9999,9999,1,9
true,41,102,27,2,0,1,30000,0,203,2023,1,26,15,50,12,6,47,16,59,1,1,1,14,7,0,0,0,0,2,9,1,70,5,4,21,45,1,3,51,31,41,1,0,1,0,11,0,10,0,10,20,3,3,2,0,2,0,4,2,362339840,1394434300,36.3944,139.742861,5,3,9999,0,5,0
true,41,103,1,2,0,1,30000,0,202,2022,12,27,6,55,11,6,51,16,32,1,2,1,14,7,0,0,0,0,3,9,1,70,4,3,21,1,45,3,3,31,31,1,1,1,1,11,11,3,3,10,30,3,3,2,2,2,2,4,2,361858879,1392923488,36.316355,139.489858,3,3,9999,9999,1,1
true,41,103,2,2,0,1,21280,0,202,2022,12,29,15,14,12,6,52,16,33,1,2,1,1,7,9,22,0,0,14,9,30,70,4,2,21,45,0,4,0,31,0,1,0,1,0,11,0,4,0,50,0,3,0,2,0,2,0,2,0,361825513,1393024509,36.307087,139.506808,5,3,9999,0,9,0
true,41,103,3,2,0,1,21280,0,202,2023,1,1,16,30,13,6,52,16,35,1,3,1,14,7,0,0,0,0,3,9,1,70,4,2,21,45,0,3,0,31,0,1,0,1,0,11,0,10,0,20,0,3,0,2,0,2,0,2,0,361823688,1393000410,36.30658,139.500114,1,1,9999,0,1,0
true,41,103,4,2,0,1,10380,0,202,2023,1,8,0,55,22,6,53,16,41,2,2,1,14,7,0,0,0,0,1,9,1,70,4,2,41,45,0,51,76,41,0,0,0,0,0,0,0,0,0,10,0,3,0,0,0,0,0,2,0,361949919,1392653138,36.330533,139.448094,1,2,0,0,0,0
true,41,103,5,2,0,4,21280,0,202,2022,12,25,21,10,22,6,50,16,30,1,3,1,1,7,1,21,9,22,15,9,30,70,4,2,21,1,45,3,4,31,31,1,1,1,1,11,11,10,10,80,50,1,1,2,1,2,2,2,2,361826608,1393001940,36.307391,139.500539,1,3,9999,9999,1,9
true,41,103,6,2,0,1,99000,0,202,2023,1,9,20,36,22,6,53,16,42,2,3,1,0,7,0,0,0,0,0,0,20,70,0,4,21,35,25,3,4,31,31,1,1,1,1,11,11,10,10,60,30,3,3,2,2,2,2,4,4,362029404,1392525604,36.341501,139.423779,2,1,9999,9999,1,1
